pattern_type,props,utterance,ltl_formula
visit,['a'],visit a,F a
visit,['a'],reach a,F a
visit,['a'],eventually you must go to a,F a
visit,"['a', 'b']",visit a and b,& F a F b
visit,"['a', 'b']",visit b and a,& F a F b
visit,"['a', 'b']",sometime along the way go to a and b,& F a F b
visit,"['a', 'b']",eventually reach a and b,& F a F b
visit,"['a', 'b', 'c']",go to a b and c,& F a & F b F c
visit,"['a', 'b', 'c']",visit c a and b in no specific order,& F a & F b F c
visit,"['a', 'b', 'c']",eventually reach a c and b,& F a & F b F c
visit,"['a', 'b', 'c', 'd']",visit b a c and d,& F a & F b & F c F d
visit,"['a', 'b', 'c', 'd']",go to four locations a b d and c,& F a & F b & F c F d
visit,"['a', 'b', 'c', 'd']",in no particular order visit a b c and d,& F a & F b & F c F d
visit,"['a', 'b', 'c', 'd', 'h']",visit a b c d and h,& F a & F b & F c & F d F h
visit,"['a', 'b', 'c', 'd', 'h']",sometime visit a c b h and d,& F a & F b & F c & F d F h
visit,"['a', 'b', 'c', 'd', 'h']",eventually go visit a b h d and c,& F a & F b & F c & F d F h
visit,"['a', 'b', 'c', 'd', 'h']",go to a b c d and h,& F a & F b & F c & F d F h
sequenced_visit,"['a', 'b']",eventually first visit a and then b after,F & a F b
sequenced_visit,"['a', 'b']",visit a and then b,F & a F b
sequenced_visit,"['a', 'b']",go to a and sometime afterward visit b,F & a F b
sequenced_visit,"['a', 'b', 'c']",visit a sometime afterwards visit b sometime afterwards visit c,F & a F & b F c
sequenced_visit,"['a', 'b', 'c']",in some sequence visit a b and c in that order,F & a F & b F c
sequenced_visit,"['a', 'b', 'c', 'd']",eventually in some sequence visit a b c and d each must be followed by the next ,F & a F & b F & c F d
sequenced_visit,"['a', 'b', 'c', 'd']",visit a then visit b then visit c then visit d ,F & a F & b F & c F d
sequenced_visit,"['a', 'b', 'c', 'd', 'h']",visit a b c d and h in this order there can be other landmarks in between,F & a F & b F & c F & d F h
ordered_visit,"['a', 'b', 'c']",do not visit c until visiting b do not visit b until visiting a,& U ! b a & U ! c b F c
ordered_visit,"['a', 'b', 'c']",in strictly this order visit a then eventually visit b and finally eventually c,& U ! b a & U ! c b F c
strictly_ordered_visit,"['a', 'b']",only visit a once and do not visit b until you visit a ,& & U ! b a F b U ! a U a U ! a b
strictly_ordered_visit,"['a', 'b', 'c']",do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c
strictly_ordered_visit,"['a', 'b', 'c', 'd']",do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d
