,nl_command,ltl,map_name,result,eq
4576,eventually in some sequence visit CPCC Giles Science Center Independence Park CPCC Citizens Center and CPCC each must be followed by the next,F & cpcc_giles_science_center F & independence_park F & cpcc_citizens_center F cpcc,Charlotte #1,F & independence_park F & cpcc_giles_science_center F cpcc_pease_auditorium,False
4577,eventually in some sequence visit CPCC Citizens Center 100kV Transmission Line Halton Theatre and CPCC Sloan-Morgan each must be followed by the next,F & cpcc_citizens_center F & 100kv_transmission_line F & halton_theatre F cpcc_sloan-morgan,Charlotte #1,"error:['F', '&', 'lm(', 'CPCC', 'Citizens', ')lm', 'F', '&', 'lm(', 'Center', 'Transmission', ')lm', 'F', 'lm(', 'lm(', 'Theatre', 'Theatre', ')lm', 'lm(', 'lm(', 'Theatre', ')lm']",False
4578,visit CPCC Zeiss then visit CPCC Central High then visit Halton Theatre then visit CPCC Overcash - Arts Wing,F & cpcc_zeiss F & cpcc_central_high F & halton_theatre F cpcc_overcash_-_arts_wing,Charlotte #1,"error:['F', '&', 'lm(', 'CPCC', 'Zeiss', ')lm', 'F', '&', 'lm(', 'CPCC', 'Theatre', ')lm', 'F', 'lm(', 'lm(', 'CPCC', '-', 'Arts', 'Wing', ')lm']",False
4579,visit CPCC Citizens Center then visit Aspire then visit CPCC Giles Science Center then visit CPCC Sloan-Morgan,F & cpcc_citizens_center F & aspire F & cpcc_giles_science_center F cpcc_sloan-morgan,Charlotte #1,F & cpcc_citizens_center F & aspire F cpcc_overcash_-_arts_wing,False
4580,go to Halton Theatre and then go to CPCC Giles Science Center and then go to Independence Park and then go to CPCC Faculty/Theatre Parking,F & halton_theatre F & cpcc_giles_science_center F & independence_park F cpcc_faculty/theatre_parking,Charlotte #1,F & halton_theatre F & cpcc_pease_auditorium F & independence_park F independence_park,False
4581,go to CPCC Tate Tower and then go to CPCC Health Careers and then go to CPCC Zeiss and then go to Central Piedmont Community College,F & cpcc_tate_tower F & cpcc_health_careers F & cpcc_zeiss F central_piedmont_community_college,Charlotte #1,F & cpcc_citizens_center F & cpcc_health_careers F cpcc_zeiss F central_piedmont_community_college,False
4582,visit CPCC Library CPCC Giles Science Center Independence Park and CPCC in this order there can be other locations in between,F & cpcc_library F & cpcc_giles_science_center F & independence_park F cpcc,Charlotte #1,"error:['F', '&', 'lm(', 'CPCC', 'Library', ')lm', 'F', '&', 'lm(', 'Giles', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Park', ')lm', ')lm', 'lm(', 'CPCC', 'CPCC', ')lm', ')lm']",False
4583,visit CPCC Kratt CPCC Overcash CPCC Advanced Technology Center and Gloria Victus Monument in this order there can be other locations in between,F & cpcc_kratt F & cpcc_overcash F & cpcc_advanced_technology_center F gloria_victus_monument,Charlotte #1,"error:['F', '&', 'lm(', 'CPCC', 'Kratt', ')lm', 'F', '&', 'lm(', 'lm(', 'Advanced', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Victus', 'Center', ')lm']",False
4584,head to CPCC Health Careers and then to CPCC Kratt after CPCC Health Careers is visited and then to CPCC Citizens Center after CPCC Kratt is visited and then to CPCC Tate Tower after CPCC Citizens Center is visited,F & cpcc_health_careers F & cpcc_kratt F & cpcc_citizens_center F cpcc_tate_tower,Charlotte #1,"error:['F', '&', 'lm(', 'Health', 'Careers', 'Health', 'Health', 'F', '&', 'lm(', 'lm(', 'Careers', ')lm', 'Center', 'Center', 'lm(', 'lm(', 'Citizens', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Tate', ')lm']",False
4585,head to Aspire and then to CPCC Overcash after Aspire is visited and then to Little Sugar Creek after CPCC Overcash is visited and then to CPCC Terrell after Little Sugar Creek is visited,F & aspire F & cpcc_overcash F & little_sugar_creek F cpcc_terrell,Charlotte #1,"error:['F', '&', 'lm(', 'Aspire', 'and', ')lm', 'F', '&', 'lm(', 'CPCC', 'Overcash', ')lm', 'F', '&', 'lm(', 'Little', 'Creek', ')lm', 'F', 'lm(', 'lm(', 'Terrell', 'Terrell']",False
4586,make sure CPCC Zeiss CPCC Overcash CPCC Sloan-Morgan and Gloria Victus Monument are all visited in this order there can be other locations in between,F & cpcc_zeiss F & cpcc_overcash F & cpcc_sloan-morgan F gloria_victus_monument,Charlotte #1,"error:['F', '&', 'lm(', 'CPCC', 'Zeiss', ')lm', 'F', '&', 'lm(', 'Overcash', 'Sloan-Morgan', ')lm', 'F', 'lm(', 'lm(', 'Monument', 'Monument', ')lm']",False
4587,make sure CPCC Overcash - Arts Wing 100kV Transmission Line CPCC Citizens Center and Gloria Victus Monument are all visited in this order there can be other locations in between,F & cpcc_overcash_-_arts_wing F & 100kv_transmission_line F & cpcc_citizens_center F gloria_victus_monument,Charlotte #1,F & cpcc_overcash_-_arts_wing F & 100kv_transmission_line F & cpcc_giles_science_center F cpcc_tate_tower,False
4588,you have to walk to CPCC Giles Science Center and then walk to Aspire and then walk to CPCC Kratt and finally walk to CPCC Faculty/Theatre Parking,F & cpcc_giles_science_center F & aspire F & cpcc_kratt F cpcc_faculty/theatre_parking,Charlotte #1,F & cpcc_overcash F & aspire F & cpcc_kratt F aspire,False
4589,you have to walk to Gloria Victus Monument and then walk to CPCC Worrell and then walk to Independence Park and finally walk to 100kV Transmission Line,F & gloria_victus_monument F & cpcc_worrell F & independence_park F 100kv_transmission_line,Charlotte #1,F & independence_park F & cpcc_central_high F & independence_park F 100kv_transmission_line,False
4590,go to 100kV Transmission Line then go to CPCC Overcash then go to CPCC Tate Tower and then go to Independence Park,F & 100kv_transmission_line F & cpcc_overcash F & cpcc_tate_tower F independence_park,Charlotte #1,F & 100kv_transmission_line F & cpcc_overcash F & cpcc_health_careers F independence_park,False
4591,go to CPCC Giles Science Center then go to CPCC Kratt then go to Independence Park and then go to CPCC Faculty/Theatre Parking,F & cpcc_giles_science_center F & cpcc_kratt F & independence_park F cpcc_faculty/theatre_parking,Charlotte #1,F & cpcc_pease_auditorium F & cpcc_kratt F & independence_park F little_sugar_creek,False
4592,ensure that you visit Little Sugar Creek CPCC Sloan-Morgan CPCC Overcash and CPCC Overcash - Arts Wing in order,F & little_sugar_creek F & cpcc_sloan-morgan F & cpcc_overcash F cpcc_overcash_-_arts_wing,Charlotte #1,"error:['&', 'F', 'lm(', 'lm(', 'Sugar', 'Creek', ')lm', '&', 'F', 'lm(', 'lm(', 'CPCC', '-', 'G', ')lm', 'F', 'lm(', 'Arts', 'Arts', 'Arts', ')lm']",False
